Comments,Ratings
He claims to care about students individually but doesn't. He makes tests more difficult to bring down class average if your class does too well. He is a great lecturer but is very rehearsed. Lectures are clear but very fast paced (he's aware of this). Standard is to record lecture and then take notes outside of class (2-3 hours per lecture).,1.0
"I came into the class as a Senior with a 4.0 GPA and this class was horrible. Despite studying close to 40 hours per exam and going to office hours every week, my test average was about a C+ and I ended with an A- in the course (.3 away from an A). No matter how much you study, if you dont conquer his exam style questions then you wont get an A.",1.0
"Brad is a true gem. He goes extremely in-depth during his lectures, and make sure we participate with our peers to succeed. Midterms make up 40%, the final makes up 20% (not necessarily a cumulative final), and everything else makes up 40%, so it's easy to get free points. Brad knows MCB is a tough class, and he tries to make it easier for us.",1.0
"Brad is an entertaining lecturer, but his lectures are a direct summary of the textbook without any extra insight. He's totally rehearsed the same lecture ""performance"" that he's given for the last fifteen years. The guy is fake. In personal interactions with him I realized it was an act and he couldn't care less about me as an individual student",0.0
"Definitely one of my favorite professors at UIUC so far. Great guy, explains things clearly and really cares about students learning the material. Exams have some tough questions, but he does that to teach you to think critically rather than just memorize things. Wish he taught more courses here!",1.0
I love Brad so much. Literally cannot describe it to you. Such a great guy and rewards his students for putting in the effort. Also a Biology advisor so you can get to know his personally should you choose to do so. Has high expectations but the class is structured so well that all of his requirements are absolutely justified.,1.0
"This professor knows what hes talking about. He teaches students in a way that can be understood no matter their biology background. Not only are his lectures easy to follow along with, but also hes available for office hours. My advice is to fit office hours into your schedule weekly. Do NOT be afraid to ask questions.",1.0
"Brad is an excellent professor. He's not only an expert on the material but also knows how to communicate it effectively. He's a very caring guy and will always make time to help people out (even if it's not about biology). Still, MCB 150 is a very difficult class: go to office hours, pay attention, and study every day if you want to do well.",1.0
Great Guy. Definitely go to his office hours,1.0
"I thought the lectures were very interesting and that the in class questions were very relevant. The exams were very specific and therefore difficult, but overall if you pay attention in lecture and discussion, it's an easy A with a generous curve of the class.",1.0
"The first half of the class I couldn't stand Brad, and then after exam 2, he became my fave professor ever. Hands down one of the most caring professors I've had. This class is HARD but he gives you all the resources you need to succeed, you just have to give yourself enough time to study it. Attend class, record the lectures, & make concept maps!",1.0
"Brad is one of the best professors I've had at the university! His lectures are very engaging, and he cares deeply about all of his students. Make sure to use all the resources he gives you in order to do well! Textbook reading and practice exams are a must.",1.0
"Professor Mehrtens is one of the best Professors I have ever had. Although I took this course online in the summer, he still made it seem as if we were in class and was very clear in all aspects. I learned SO much from this class. Although it is difficult, he truly makes you think hard on questions and makes you connect topics together.",1.0
"Brad is a good professor, but his tests are hard even when youve studied for 12+ hours. I definitely recommend taking all the practice tests you can to get used to the question types. I failed the first two exams and still ended with a B- in the class because he has an adjusted grading scale. Be ready to study!",1.0
"Great professor! He holds office hours which is very helpful, if you pay attention in class and attend office hours every other week, you will enjoy this class rather than stressing about it.",1.0
Brad is an amazing professor. The class is difficult but he makes lectures interesting.,1.0
He is definitely the best mentor I have ever met.,1.0
This course was by no means easy  you will have to work for you grade. The tests are definitely something to get used to. Lots of applications so make sure you understand the material thoroughly. I highly suggest you attend TA office hours (Shafi is AMAZEBALLS) and Brads office hours.,1.0
"Really tough, but best teacher of all time.",1.0
"
                      Brad is the best professor at UIUC. He actually cares about how you, and knows everything about the class that he's teaching. The tests are very hard but if you study a lot they are manageable. Do not skip lecture or else you wont do well
                  ",1.0
Having Susan for both accy201 and 302. She is a good lecturer and good at explaining definitions and math problems (tho she sometimes was off the track) But the only issue is that she forced you to do a random presentation during the class and you have to participate in order to get points from that.,1.0
"Horrible. Make one mistake on the exams, you get the whole section wrong. The total online quizzes had a class average of 66%. She gives you only 15 minutes to answer 5 tricky questions, and you can't skip or go back. It's ""you know it, or you don't."" Your best bet is to attend the TA discussions and form your own studying group!",0.0
"Curtis is disorganized. Forgets to show up to the first lecture of the semester because she is ""preparing for class"". Tricky pop quizzes and won't provide answers to homework questions. Quizzes should be given after we learn the material not before. Take somewhere else.",0.0
