ID,Name,Credit Hours
ACCT 2101,Accounting I: Financial Accounting,3
ACCT 2102,Accounting II: Managerial Accounting,3
AE 1355,Aerospace Systems Design Competition I,3
AE 1601,Introduction to Aerospace Engineering,1
AE 1750,Introduction to Bioengineering,3
AE 1XXX,Aerospace Engr Elective,1
AE 2010,Thermodynamics & Fluids Fundamentals,4
AE 2011,Fluid Fundamentals,2
AE 2220,Dynamics,3
AE 2221,3D Dynamics,1
AE 2355,Aerospace Systems Design Competition II,3
AE 2610,Introduction to Experimental Methods in Aerospace,1
AE 2611,Technical Communications for Aerospace Engineers,1
AE 2698,Undergraduate Research Assistantship,1
AE 2699,Undergraduate Research,1
AE 2801,Special Topics,1
AE 2802,Special Topics,2
AE 2803,Special Topics,3
AE 2901,Special Problems,1
AE 2902,Special Problems,1
AE 2903,Special Problems,1
AE 2XXX,Aerospace Engr Elective,1
AE 3030,Aerodynamics,4
AE 3090,Numerical Methods for Aerospace Engineering,3
AE 3140,Structural  Analysis,3
AE 3330,Introduction to Aerospace Vehicle Performance,3
AE 3340,Design and Systems Engineering Methods,2
AE 3355,Aerospace Systems Design Competition III,3
AE 3450,Thermodynamics and Compressible Flow,3
AE 3530,System Dynamics and Vibration,3
AE 3531,Control System Analysis and Design,3
AE 3610,Experiments in Fluid and Solid Mechanics,2
AE 3801,Special Topics,1
AE 3802,Special Topics,2
AE 3803,Special Topics,3
AE 3901,Special Problems,1
AE 3902,Special Problems,1
AE 3903,Special Problems,1
AE 3XXX,Aerospace Engr Elective,1
AE 4040,Computational Fluid Dynamics,3
AE 4060,Aeroacoustics,3
AE 4070,Introduction to Propeller and Rotor Theory,3
AE 4071,Rotorcraft Aeromechanics,3
AE 4080,Aerothermodynamics,3
AE 4132,Finite Element Analysis,3
AE 4170,Structural Integrity and Durability,3
AE 4220,Structural Dynamics and Aeroelasticity,3
AE 4341,Aircraft Design,3
AE 4342,Space System Design,3
AE 4343,Rotorcraft Design,3
AE 4355,Aerospace Systems Design Competition IV,3
AE 4361,Space Flight Operations,3
AE 4370,Life Cycle Cost Analysis,3
AE 4376,Accident Causation and System Safety,2
AE 4451,Jet and Rocket Propulsion,3
AE 4461,Introduction to Combustion,3
AE 4531,Aircraft Flight Dynamics,3
AE 4532,Spacecraft Flight Dynamics,3
AE 4552,Introduction to Humans & Autonomy,3
AE 4580,Introduction to Avionics Integration,3
AE 4610,Dynamics and Control Laboratory,2
AE 4698,Undergraduate Research Assistantship,1
AE 4699,Undergraduate Research,1
AE 4701,Wind Engineering,3
AE 4757,Biofluid Mechanics,3
AE 4758,Biosolid Mechanics,3
AE 4760,Engineering Acoustics and Noise Control,3
AE 4791,Mechanical Behavior of Composites,3
AE 4793,Composite Materials and Processes,3
AE 4794,Composite Materials and Manufacturing Testing,4
AE 4801,Special Topics,1
AE 4802,Special Topics,2
AE 4803,Special Topics,3
AE 4804,Special Topics,4
AE 4883,Special Topics,3
AE 4901,Special Problems in Aerospace Engineering,1
AE 4902,Special Problems in Aerospace Engineering,1
AE 4903,Special Problems,1
AE 4XXX,Aerospace Engr Elective,1
AE 6009,Viscous Fluid Flow,3
AE 6012,Turbulent Flows,3
AE 6015,Advanced Aerodynamics,3
AE 6020,Elements of Compressible Flow,3
